id,renewal,incentives
649,0.9983957135677336,1650
81136,0.9672434902191164,1650
70762,0.8141228079795837,1650
53935,0.9815124309062958,1650
15476,0.9191164433956146,1650
64797,0.9917887735366822,1650
67412,0.7755555558204651,1650
44241,0.8011783981323242,1650
5069,0.9928205132484436,1650
16615,0.9993749010562896,1650
84281,0.9531409573554992,1650
82623,0.8819130134582519,1650
86475,0.62,1650
68263,0.9174625003337858,1650
113135,0.6779189670085907,1650
45532,0.8774648129940033,1650
102161,0.9983087182044984,1650
84789,0.5,1650
62398,0.965652198791504,1650
70148,0.9901355850696564,1650
102487,0.8512030076980591,1650
100513,0.8684819626808167,1650
92702,0.938482302427292,1650
25051,0.8575705778598786,1650
92920,0.96525439620018,1650
25520,0.9463208544254303,1650
81869,0.9547088706493376,1650
75402,0.9989699459075928,1650
34053,0.8,1650
21191,0.9977527844905854,1650
10864,0.9960853135585784,1650
6349,0.9958438456058504,1650
85213,0.9987638533115388,1650
17255,0.9988235294818878,1650
108351,0.8877453112602234,1650
51437,0.9328426122665404,1650
88629,0.8728771710395813,1650
85367,0.990538227558136,1650
12313,0.8953790485858917,1650
71659,0.9681987631320952,1650
35142,0.9884442698955536,1650
62988,0.9739038515090942,1650
8793,0.9296221804618836,1650
11433,0.9959630620479584,1650
30586,0.991584805250168,1650
53012,0.9758676087856292,1650
87924,0.9973356652259828,1650
106177,0.9903306984901428,1650
63058,0.9761307430267334,1650
99537,0.9505329537391662,1650
35336,0.8926257133483887,1650
78691,0.8957676637172699,1650
16161,0.987725876569748,1650
94318,0.9825060176849364,1650
96583,0.995855940580368,1650
104560,0.949959363937378,1650
19638,0.9988347077369691,1650
26080,0.9951117098331452,1650
113482,0.9955949854850769,1650
82175,0.9952773237228394,1650
1239,0.9777625477313996,1650
32521,0.7126719510555267,1650
68529,0.9987463486194612,1650
38882,0.21352380961179732,1650
8299,0.9998442220687866,1650
98521,0.9952584612369536,1650
47257,0.9175390768051148,1650
42445,0.9757971262931824,1650
104700,0.68,1650
109204,0.9771770584583284,1650
20138,0.66,1650
28468,0.9974495434761048,1650
94964,0.76,1650
59773,0.8590228426456451,1650
17261,0.9990915393829346,1650
9570,0.5028571426868439,1650
55159,0.6038717949390411,1650
82480,0.9986211228370666,1650
51225,0.670887745320797,1650
53176,0.4940216648578644,1650
82883,0.9917930233478546,1650
63590,0.9962966465950012,1650
50906,0.74,1650
21635,0.8258699905872345,1650
84000,0.9487958109378816,1650
79029,0.9989825057983398,1650
60256,0.9989382231235504,1650
110660,0.6638329207897187,1650
51023,0.9621352928876876,1650
99146,0.9545455169677736,1650
93878,0.9981367433071135,1650
93845,0.9902995896339416,1650
5364,0.46,1650
106612,0.9513657534122468,1650
79928,0.996353715658188,1650
94761,0.9977835261821748,1650
7126,0.8880432963371276,1650
82176,0.914010608792305,1650
53475,0.46,1650
88108,0.999466780424118,1650
65166,0.9793103444576264,1650
65378,0.8932792210578918,1650
47119,0.9478463137149812,1650
64338,0.99853044629097,1650
48872,0.9505594205856324,1650
26061,0.9993146765232086,1650
78191,0.9968834340572356,1650
108224,0.9930153477191924,1650
47646,0.9252983927726746,1650
63423,0.9843831193447112,1650
109453,0.9736780869960784,1650
43299,0.992067003250122,1650
86879,0.9760352492332458,1650
51882,0.997122641801834,1650
84497,0.5,1650
19699,0.9639452254772186,1650
52164,0.927051249742508,1650
36055,0.8987013232707978,1650
17844,0.9669904160499572,1650
12006,0.9995394599437714,1650
51731,0.9986120223999024,1650
101823,0.9498534548282624,1650
70611,0.9947006559371948,1650
57291,0.58,1650
3315,0.7801266062259674,1650
6841,0.780125402212143,1650
95636,0.625142856836319,1650
89508,0.9966387104988098,1650
78357,0.9612274205684662,1650
30363,0.998533127307892,1650
65880,0.991376234292984,1650
79166,0.9859633672237396,1650
16883,0.9578167688846588,1650
19400,0.988004822731018,1650
97846,0.9803895497322084,1650
35938,0.9734787535667421,1650
109739,0.9792533886432648,1650
7542,0.8902642798423767,1650
62506,0.9987131595611572,1650
106686,0.9531204032897951,1650
22500,0.997290369272232,1650
73566,0.9862012207508088,1650
34462,0.9995378816127776,1650
109,0.971546493768692,1650
82344,0.9977108561992644,1650
70324,0.9782357966899872,1650
47235,0.9998323380947112,1650
78355,0.9754632604122162,1650
97012,0.985354619026184,1650
103271,0.9988148200511932,1650
54640,0.994004648923874,1650
18452,0.8942312455177307,1650
80733,0.7217759108543396,1650
22069,0.9826803123950958,1650
63586,0.9961948490142822,1650
63069,0.9823611962795258,1650
66451,0.9510423696041108,1650
5163,0.9903600883483886,1650
6542,0.958821051120758,1650
79333,0.9787741887569428,1650
8752,0.9984406554698944,1650
37396,0.9963363742828371,1650
27502,0.9802172529697418,1650
65597,0.9512883293628692,1650
50178,0.9948612642288208,1650
51709,0.9211249923706056,1650
32294,0.9648058187961578,1650
76360,0.9932259511947632,1650
51635,0.997432701587677,1650
103391,0.3207407407462597,1650
59747,0.435,1650
21498,0.9981053376197816,1650
18771,0.9958085644245148,1650
34501,0.8870965886116028,1650
77807,0.8694722557067871,1650
26350,0.8847880268096924,1650
105355,0.997142163515091,1650
5469,0.9943372631072998,1650
23826,0.3936978030204773,1650
9399,0.9947469639778136,1650
44862,0.9265115213394164,1650
104114,0.9888365280628204,1650
